repo,n_presentation_files,median_commits,median_commits_per_month,median_churn_per_sloc,repo_active_months
0000foxx__TwoFlashLight,1,11,0.0849,14.502,129.5
alessioGalatolo__PerfectGymCoach,20,15.0,0.3242,2.082,46.3
alex-amenos__Jetpack,10,27.0,0.4399,5.573,61.4
alexandrecastillo__datero-app,11,1,0.2382,1.2,4.2
amirr-sharifi__WeatherApp-jetpackCompose,3,1,0.7556,1.25,1.3
Anthonyy232__Paperize,6,5.5,0.1592,1.645,34.5
Avvami__MoviDB,24,6.5,0.3063,2.987,21.2
azrael8576__picquest,7,4,0.1442,1.434,27.7
azrael8576__vsclock,3,3,0.2335,2.906,12.8
BobbyESP__Docucraft,7,4,0.2631,2.825,15.2
boitakub__Bogadex,7,10,0.2179,9.333,45.9
bruferrari__explorer,3,10,13.6667,2.716,0.7
CarGuo__GSYGithubAppKotlin,20,5.0,0.0535,1.887,93.4
chrisr04__ReactorCompose,3,1,0.1219,1.241,8.2
codeskraps__sBrowser,6,5.0,0.1933,1.325,25.9
codeskraps__Weekly-Weather,6,5.5,0.1883,1.458,29.2
CoinTrend__CoinTrend,6,3.5,0.0824,1.469,42.5
DanielRendox__GroceryGenius,14,5.5,0.2572,1.709,21.4
daviekimgithub__expense-tracker-android,7,33,1.4153,8.456,23.3
dead8309__Kizzy,9,3,0.0658,1.917,45.6
DeNyWho__Valorant,8,4.5,0.4337,1.772,10.4
djkovrik__BlinkTracker,4,7.5,0.2176,2.091,34.5
ffgiraldez__reactive-mvvm-android,3,1,0.0122,1.114,82.2
freeletics__FlowRedux,9,29,0.3353,8.0,86.5
freeletics__khonshu,11,10,0.1649,2.333,60.7
ggrell__RxReactor,1,5,0.0486,3.2,102.8
gugabrilhante__MagicCube-Android,4,6.0,0.0508,1.747,118.0
gymbay__GELM,11,4,0.1985,2.958,20.2
Hafiz-Waleed-Hussain__antigravity-geofencing,6,2.0,4.0,1.331,0.5
Hamza417__Inure,133,11,0.1716,2.651,64.1
Hamza417__Peristyle,13,7,0.1982,1.409,35.3
HunterColes__android-base,6,1.5,0.0378,1.245,39.7
icylian__MDPings,5,3,0.2177,1.508,13.8
ImGaram__Text-Extractor,1,1,0.8321,1.176,1.2
Joker-x-dev__CoolMallKotlin,41,11,0.8525,3.83,12.9
JsonChao__Awesome-WanAndroid,22,9.0,0.0911,2.507,98.8
Kashish-Sharma__WhichMovie-open,1,1,0.0372,1.242,26.9
kellner-team__WaiterRobot-Shared-Android,18,10.5,0.306,2.568,34.3
Kin69__Athena,13,3,0.4945,1.491,6.1
kioba__anchor,2,7.0,0.1347,3.021,52.0
Kotlin-Android-Open-Source__Jetpack-Compose-MVI-Coroutines-Flow,3,4,0.1536,3.0,26.0
kymjs__TheMVP,2,10.5,0.0874,3.51,120.1
lethalskillzz__Baker,10,6.0,0.5606,3.778,10.7
libhide__uttam,6,5.5,0.0531,3.193,103.5
lucasnlm__antimine-android,14,22.5,0.337,3.394,66.8
mars885__gamedge,28,13.5,0.2084,5.019,64.8
martppa__omni-mvi,2,13.5,0.3158,4.391,42.8
mayokunadeniyi__Instant-Weather,5,15,0.2826,4.08,53.1
mhss1__MyBrain,16,12.5,0.2663,2.414,46.9
miggymamba__PraesidiumNote,3,4,0.7167,2.57,5.6
MiguelSJD__RepoFinder,7,1,2.0,1.24,0.5
mooji-m__MoojiFood,1,1,0.0289,1.194,34.6
NaluKit__nalu,5,10,0.1074,6.833,93.1
ngapp-dev__metanmobile,17,2,0.1108,1.636,18.1
nhoxbypass__FastFoodFinder,22,3.0,0.026,1.571,115.3
Nu11Object__weather-compose-mvi,3,1,0.1786,1.261,5.6
odaridavid__WeatherApp,5,9,0.3505,2.256,25.7
owenleexiaoyu__WanAndroid,12,3.5,0.0447,1.35,78.4
Pool-Of-Tears__GreenStash,12,7.0,0.145,2.357,48.3
rajatt04__Creamie,11,2,0.2283,1.224,8.8
renatoramos-7__Tajawal-Hotels,4,3.0,0.4891,4.165,6.1
RznNike__EyeHealthManager,35,3,0.1393,2.0,21.5
Satyam50Singh__Daily-Pulse-KMM-Project,4,3.0,6.0,1.409,0.5
Seenu-2002__vibe-player-android,10,3.0,1.6136,1.482,1.9
sergio11__fudge_tv_compose_library,1,3,0.0399,1.803,75.2
sergio11__melodiqtv_android,23,2,0.0275,1.208,72.7
sergio11__saborytv_android,23,1,0.029,1.175,34.5
shalenMathew__Quotes-app,7,6,0.2958,1.588,20.3
siempredelao__Distance-From-Me-Android,7,3,0.0382,1.891,78.6
SkyD666__Raca-Android,17,3,0.1069,2.217,28.1
SkyD666__Rays-Android,45,4,0.1036,2.143,38.6
slackhq__circuit,13,6,0.1282,3.107,46.8
slowburn-404__DoneTik,15,7,0.8207,2.769,8.5
solrudev__OkkeiPatcher,25,5,0.0856,3.222,58.4
stslex__Workeeper,36,4.0,0.4247,1.951,9.4
tanujnotes__Olauncher,1,93,1.2892,3.19,72.1
TeamAmaze__AmazeFileManager,7,8,0.0555,4.933,144.2
techsenger__tabshell,68,12.0,0.7653,5.167,15.7
TeddKo__TODO_Project,6,4.0,8.0,2.331,0.5
tisenres__bron24_android,26,4.5,0.3442,1.446,13.1
TrisTaam__AoV-Hero-Rate,2,2.5,0.5636,1.641,4.4
uber__RIBs,10,10.0,0.0948,14.6,105.5
uditbhaskar__Whizzz-The-ChatApp,11,1,2.0,1.375,0.5
v1tzor__TimePlanner,7,3,0.1048,2.091,28.6
VergilWu__Lottery,9,1,2.0,1.279,0.5
vishal2376__snaptick,6,10.0,0.337,1.581,29.7
vivid-money__elmslie,9,10,0.1792,4.8,55.8
waseefakhtar__dose-android,6,8.0,0.2462,2.764,32.5
Wemaka__CharactersRM,2,2.0,4.0,1.442,0.5
Wemaka__RandomUserApp,3,2,1.3088,1.69,1.5
WilliamGates99__ChillClub,4,9.0,0.4029,2.149,22.3
WilliamGates99__FUTSale,10,17.5,0.389,4.941,45.0
yamin8000__freeDictionaryApp,6,2.5,0.0517,2.698,48.4
yfy__android-architecture-benchmarks,47,1,0.1573,1.154,6.4
yogeshpaliyal__KeyPass,7,13,0.2095,5.53,62.1
youlookwhat__CloudReader,25,10,0.086,2.667,116.3
zhujiang521__PlayAndroid,18,10.5,0.1519,5.84,69.1
